"","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"527","FIL30_383","FIL30_383_M2","FIL30.383.M2","FIL30_383|FIL30_383_M2|FIL30.383.M2",106,35,71,93,19,74,78,61,17,FALSE,FALSE,67,51,16,0.761194029850746,FALSE,"FIL30_383",TRUE,"FIL30_383_M2",49.0247760365027,"Self"
"95","FIL30_384","FIL30_384_M2","FIL30.384.M2","FIL30_384|FIL30_384_M2|FIL30.384.M2",85,12,73,80,25,55,68,45,23,FALSE,FALSE,71,47,24,0.661971830985915,FALSE,"FIL30_384",TRUE,"FIL30_384_M2",52.8779091655805,"Self"
"631","FIL30_385","FIL30_385_M2","FIL30.385.M2","FIL30_385|FIL30_385_M2|FIL30.385.M2",139,35,104,123,25,98,108,85,23,FALSE,FALSE,95,75,20,0.789473684210526,FALSE,"FIL30_385",TRUE,"FIL30_385_M2",50.6184437906681,"Self"
"966","FIL30_386","FIL30_386_M2","FIL30.386.M2","FIL30_386|FIL30_386_M2|FIL30.386.M2",104,24,80,89,34,55,74,43,31,FALSE,FALSE,73,39,34,0.534246575342466,FALSE,"FIL30_386",TRUE,"FIL30_386_M2",52.3807539972718,"Self"
"725","FIL30_387","FIL30_387_M2","FIL30.387.M2","FIL30_387|FIL30_387_M2|FIL30.387.M2",135,29,106,113,33,80,98,68,30,FALSE,FALSE,96,65,31,0.677083333333333,FALSE,"FIL30_387",TRUE,"FIL30_387_M2",60.585166410995,"Self"
"629","FIL30_39","FIL30_39_M2","FIL30_39_M2-2","FIL30_39|FIL30_39_M2|FIL30_39_M2-2",119,32,87,108,15,93,97,85,12,FALSE,FALSE,85,71,14,0.835294117647059,FALSE,"FIL30_39",TRUE,"FIL30_39_M2_2",51.3090725931488,"Self"
"876","FIL30_391","FIL30_391_M2","FIL30.391.M2","FIL30_391|FIL30_391_M2|FIL30.391.M2",96,39,57,76,20,56,58,40,18,FALSE,FALSE,51,32,19,0.627450980392157,FALSE,"FIL30_391",TRUE,"FIL30_391_M2",47.6270640616617,"Self"
"1760","FIL30_392","FIL30_392_M2","FIL30.392.M2","FIL30_392|FIL30_392_M2|FIL30.392.M2",90,28,62,87,29,58,79,53,26,FALSE,FALSE,61,34,27,0.557377049180328,FALSE,"FIL30_392",TRUE,"FIL30_392_M2",56.197958035593,"Self"
"313","FIL30_393","FIL30_393_M2","FIL30.393.M2","FIL30_393|FIL30_393_M2|FIL30.393.M2",125,43,82,105,4,101,79,77,2,FALSE,FALSE,81,77,4,0.950617283950617,FALSE,NA,FALSE,"FIL30_393_M2",66.528155124869,"Ambiguous"
"608","FIL30_394","FIL30_394_M2","FIL30.394.M2","FIL30_394|FIL30_394_M2|FIL30.394.M2",101,36,65,92,25,67,78,55,23,FALSE,FALSE,63,39,24,0.619047619047619,FALSE,"FIL30_394",TRUE,"FIL30_394_M2",49.9083133557438,"Self"
"2668","FIL30_395","FIL30_395_M2","FIL30.395.M2","FIL30_395|FIL30_395_M2|FIL30.395.M2",81,18,63,74,29,45,67,40,27,FALSE,FALSE,61,36,25,0.590163934426229,FALSE,"FIL30_395",TRUE,"FIL30_395_M2",66.046925433495,"Self"
"450","FIL30_396","FIL30_396_M2","FIL30.396.M2","FIL30_396|FIL30_396_M2|FIL30.396.M2",92,12,80,79,28,51,65,40,25,FALSE,FALSE,70,42,28,0.6,FALSE,"FIL30_396",TRUE,"FIL30_396_M2",56.864384126057,"Self"
"452","FIL30_397","FIL30_397_M2","FIL30.397.M2","FIL30_397|FIL30_397_M2|FIL30.397.M2",118,6,112,102,25,77,48,47,1,FALSE,FALSE,97,72,25,0.742268041237113,FALSE,"FIL30_397",TRUE,"FIL30_397_M2",56.8414156134717,"Self"
